ym,strategy_return,benchmark_return,bbg_return,cum_strategy,cum_benchmark,cum_bbg
2010-05,0.024862914207427977,0.024862914207427977,0.017104826787631477,1.0015600817519417,1.0023740472946443,1.0022440961883263
2010-06,0.02714462960055486,0.02714462960055486,0.018569075856885497,1.0018319515263603,1.0026461380169946,1.0024302036548187
2010-07,0.004406795890520149,0.004406795890520149,0.006820179484118949,1.00187610021563,1.002690322585801,1.002498571193911
2010-08,0.0327018802367966,0.0327018802367966,0.0200794339388779,1.0022037325380437,1.003018221174239,1.002699867232252
2010-09,-0.004023113995271693,-0.004023113995271693,0.0002113170865711833,1.002163412739419,1.002977868607808,1.0027019861083983
2010-10,-0.010007131124822766,-0.010007131124822766,-0.0015792614971821273,1.002063124932621,1.0028774992973433,1.0026861508220002
2010-11,-0.007814058951976538,-0.007814058951976538,-0.00698830873406342,1.001984823129303,1.0027991338583322,1.002616080018147
2010-12,-0.02338272052248158,-0.02338272052248158,-0.017990613129897914,1.001750531818433,1.0025646521394602,1.0024357032380127
2011-01,-0.005953228413380002,-0.005953228413380002,-0.00024954972549529053,1.0016908953211416,1.0025049671757265,1.002433201662467
2011-02,0.0017936736640025985,0.0017936736640025985,-0.0007434097001399742,1.0017088623869257,1.002522948843303,1.0024257494768085
2011-03,-0.0003932577213822952,-0.0003932577213822952,-0.0006082031398487731,1.0017049230894786,1.002519006344398,1.0024196526919256
2011-04,0.013452597814041845,0.013452597814041845,0.011535723794671826,1.0018396784240653,1.002653871194331,1.0025352890543235
2011-05,0.020705054798782596,0.020705054798782596,0.015615599484314568,1.002047109878479,1.002861471227804,1.0026918409497512
2011-06,-0.0069410415822726,-0.0069410415822726,-0.0033797542670058744,1.0019775573719083,1.0027918621960734,1.0026579524294716
2011-07,0.024242960352199583,0.024242960352199583,0.018224467701190905,1.0022204663938798,1.0030349686296407,1.0028406815041655
2011-08,0.04292586548706634,0.04292586548706634,0.027775171738020132,1.0026506782031679,1.0034655300710629,1.003119222225712
2011-09,0.03557043929973777,0.03557043929973777,0.01746530014047276,1.0030073254540466,1.0038224671683307,1.0032944200086402
2011-10,-0.014796159857222518,-0.014796159857222518,-0.008154110698532113,1.0028589188867927,1.0036739399914056,1.0032126102710006
2011-11,0.01124521852517818,0.01124521852517818,0.007462349057030471,1.0029716925637207,1.003786805319238,1.0032874734977633
2011-12,0.014498115503282338,0.014498115503282338,0.009661618882304879,1.003117104558174,1.00393233548968,1.0033844073097464
2012-01,0.0037366534470510415,0.0037366534470510415,0.004228810251900805,1.0031545875680394,1.0039698489619002,1.0034268385324288
2012-02,-0.010171024464944722,-0.010171024464944722,-0.007123284975673605,1.0030525564695167,1.0038677349429417,1.0033553615791977
2012-03,-0.01636209123195756,-0.01636209123195756,-0.010033245965644144,1.0028884360951227,1.003703481188302,1.003254692467861
2012-04,0.021530186917804173,0.021530186917804173,0.014544253368300897,1.003104359849991,1.0039195804239023,1.0034006083722629
2012-05,0.030007936751771824,0.030007936751771824,0.01714271619555019,1.0034053707718489,1.0042208359766345,1.0035726184908604
2012-06,-0.0056232226477681,-0.0056232226477681,-0.0034774595630138183,1.0033489470537906,1.0041643664031523,1.0035377196588668
2012-07,0.015272931279770974,0.015272931279770974,0.010064827613059046,1.0035021878489705,1.0043177317367689,1.0036387240003826
2012-08,-0.0033023505698878963,-0.0033023505698878963,-0.0012865237838255439,1.0034690486887512,1.0042845656444312,1.0036258119494945
2012-09,-0.006461757664354112,-0.006461757664354112,-0.0030588269350457775,1.0034042069505882,1.0042196712095388,1.0035951127728315
2012-10,-0.0019032222278561606,-0.0019032222278561606,-0.001693807922181656,1.0033851099386861,1.0042005586775398,1.0035781137993047
2012-11,0.007301095902154997,0.007301095902154997,0.005201541556584255,1.0034583680478306,1.0042738763233787,1.0036303153319468
2012-12,-0.008039023270928952,-0.008039023270928952,-0.004349964795185124,1.003377699796109,1.0041931425127573,1.0035866577665562
2013-01,-0.014802893861484034,-0.014802893861484034,-0.008074359669856923,1.0032291708601784,1.0040444928677068,1.0035056245702094
2013-02,0.007610655613507267,0.007610655613507267,0.005283486906034973,1.0033055231773866,1.0041209072362653,1.0035586446584848
2013-03,0.000517649322998609,0.000517649322998609,0.000981196963146802,1.003310716781635,1.004126105061344,1.0035684915454295
2013-04,0.016501905785301085,0.016501905785301085,0.00889005352472183,1.0034762821708523,1.0042918050051668,1.0036577093214851
2013-05,-0.028825512906095002,-0.028825512906095002,-0.01707510641879717,1.0031870249856256,1.0040023127413003,1.003486333699538
2013-06,-0.0176384544884422,-0.0176384544884422,-0.011005358322527026,1.0030100782987896,1.0038252222503043,1.003375896432797
2013-07,-0.005337246173404225,-0.005337246173404225,-0.0010885376980396266,1.0029565451817668,1.003771645627042,1.0033649743079114
2013-08,-0.006712738172315019,-0.006712738172315019,-0.004859177951913485,1.0028892193349066,1.0037042650646233,1.0033162190183027
2013-09,0.007539197667532138,0.007539197667532138,0.006993355068315887,1.0029648291355386,1.003779936313164,1.0033863844839566
2013-10,0.007351628979190894,0.007351628979190894,0.0048242795709554365,1.0030385633885686,1.0038537304898496,1.003434790648321
2013-11,-0.008752169589677422,-0.008752169589677422,-0.0032712533081470374,1.002950775752451,1.0037658715089248,1.0034019657545368
2013-12,-0.01314652206518041,-0.01314652206518041,-0.009071122933950626,1.0028189226074138,1.0036339112071442,1.0033109459287015
2014-01,0.02493087490257978,0.02493087490257978,0.013566885642708693,1.0030689341385084,1.0038841259220272,1.0034470639773765
