ym,benchmark_return,strategy_return,cum_benchmark,cum_strategy
2009-11,1.3675000000000002,1.22,1.2389918044023907,1.2336064921116097
2009-12,-3.5,-3.793333333333333,1.195627091248307,1.186811685844176
2010-01,1.8099999999999998,2.173333333333333,1.2172679415999013,1.2126050598165228
2010-02,0.35750000000000004,0.41333333333333333,1.221619674491121,1.2176171607304311
2010-03,-1.2125,-1.5299999999999998,1.206807535937916,1.1989876181712555
2010-04,1.5425,1.9699999999999998,1.2254225421797584,1.2226076742492293
2010-05,2.485,3.1666666666666665,1.2558742923529256,1.2613235839337884
2010-06,2.7175000000000002,3.473333333333333,1.2900026762476162,1.3051335564157553
2010-07,0.44000000000000006,0.5066666666666667,1.2956786880231057,1.3117462331015952
2010-08,3.2675,1.48,1.3380149891542608,1.3311600773514987
2010-09,-0.40249999999999997,0.47,1.332629478822915,1.3374165297150507
2010-10,-0.9975,0.5499999999999999,1.3193364997716563,1.3447723206284836
2010-11,-0.785,0.014166666666666668,1.308979708248449,1.3449628300405727
2010-12,-2.33,-3.67,1.27848048104626,1.2956026941780838
2011-01,-0.6024999999999999,-3.09,1.2707776361479564,1.255568570927981
2011-02,0.18,1.46,1.2730650358930227,1.2738998720635293
2011-03,-0.035,0.07,1.2726194631304601,1.2747916019739736
2011-04,1.3425,1.95,1.2897043794229865,1.299650038212466
2011-05,2.0675,3.71,1.3163690174675569,1.3478670546301483
2011-06,-0.7,-2.29,1.3071544343452839,1.317000899079118
2011-07,2.4225000000000003,4.53,1.3388202505172984,1.376661039807402
2011-08,4.295,9.98,1.3963225802770163,1.5140518115801809
2011-09,3.5524999999999998,0.0016666666666666668,1.4459269399413572,1.5140770457770407
2011-10,-1.4825,0.0008333333333333334,1.4244910730567266,1.5140896630857557
2011-11,1.1275,0.0008333333333333334,1.440552209905441,1.5141022804996147
2011-12,1.4475,0.0016666666666666668,1.4614042031438224,1.5141275155376233
2012-01,0.38,0.005,1.466957539115769,1.5142032219134003
2012-02,-1.02,0.006666666666666667,1.4519945722167882,1.514304168794861
2012-03,-1.6325,0.005833333333333334,1.428290760825349,1.5143925032047074
2012-04,2.1525,0.008333333333333333,1.4590347194521147,1.5145187025799747
2012-05,3.0,0.005833333333333334,1.5028057610356782,1.5146070495042918
2012-06,-0.56,0.0075,1.4943900487738784,1.5147206450330046
2012-07,1.525,0.009166666666666667,1.51717949701768,1.5148594944254659
2012-08,-0.3275,0.0075,1.5122107341649471,1.5149731088875478
2012-09,-0.6499999999999999,0.008333333333333333,1.502381364392875,1.515099356646622
2012-10,-0.19,0.009166666666666667,1.4995268398005284,1.5152382407543146
2012-11,0.73,0.006666666666666667,1.5104733857310724,1.5153392566370316
2012-12,-0.8025,0.004166666666666667,1.4983518368105806,1.515402395772725
2013-01,-1.48,0.005833333333333334,1.4761762296257839,1.5154907942458116
2013-02,0.76,0.009166666666666667,1.48739516897094,1.515629714235284
2013-03,0.052500000000000005,0.005833333333333334,1.4881760514346498,1.5157181259686143
2013-04,1.65,0.004166666666666667,1.5127309562833215,1.5157812808905298
2013-05,-2.885,0.0033333333333333335,1.4690886681945476,1.5158318069332262
2013-06,-1.7625000000000002,0.0033333333333333335,1.4431959804176187,1.515882334660124
2013-07,-0.5325,0.0033333333333333335,1.4355109618218949,1.5159328640712793
2013-08,-0.6725,0.0025,1.4258571506036426,1.5159707623928809
2013-09,0.75,0.0016666666666666668,1.43655107923317,1.5159960285722542
2013-10,0.7375,0.0033333333333333335,1.4471456434425145,1.5160465617732066
